[Sample Setup]						
Well	Well Position	Sample Name	Target Name	Task	Reporter	Quencher
31	B7	0	SARS	UNKNOWN	FAM	none
32	B8	0	IC	UNKNOWN	TAMRA	none
32	B8	0	RNaseP	UNKNOWN	CY5	none
32	B8	0	SARS	UNKNOWN	FAM	none
33	B9	0	IC	UNKNOWN	TAMRA	none
33	B9	0	RNaseP	UNKNOWN	CY5	none
33	B9	0	SARS	UNKNOWN	FAM	none
34	B10	0	IC	UNKNOWN	TAMRA	none
34	B10	0	RNaseP	UNKNOWN	CY5	none
34	B10	0	SARS	UNKNOWN	FAM	none
35	B11	0	IC	UNKNOWN	TAMRA	none
35	B11	0	RNaseP	UNKNOWN	CY5	none
35	B11	0	SARS	UNKNOWN	FAM	none
36	B12	0	IC	UNKNOWN	TAMRA	none
36	B12	0	RNaseP	UNKNOWN	CY5	none
36	B12	0	SARS	UNKNOWN	FAM	none
37	B13	0	IC	UNKNOWN	TAMRA	none
37	B13	0	RNaseP	UNKNOWN	CY5	none
37	B13	0	SARS	UNKNOWN	FAM	none
38	B14	0	IC	UNKNOWN	TAMRA	none
38	B14	0	RNaseP	UNKNOWN	CY5	none
38	B14	0	SARS	UNKNOWN	FAM	none
39	B15	0	IC	UNKNOWN	TAMRA	none
39	B15	0	RNaseP	UNKNOWN	CY5	none
39	B15	0	SARS	UNKNOWN	FAM	none
40	B16	0	IC	UNKNOWN	TAMRA	none
40	B16	0	RNaseP	UNKNOWN	CY5	none
40	B16	0	SARS	UNKNOWN	FAM	none
41	B17	0	IC	UNKNOWN	TAMRA	none
41	B17	0	RNaseP	UNKNOWN	CY5	none
41	B17	0	SARS	UNKNOWN	FAM	none
42	B18	0	IC	UNKNOWN	TAMRA	none
42	B18	0	RNaseP	UNKNOWN	CY5	none
42	B18	0	SARS	UNKNOWN	FAM	none
43	B19	0	IC	UNKNOWN	TAMRA	none
43	B19	0	RNaseP	UNKNOWN	CY5	none
43	B19	0	SARS	UNKNOWN	FAM	none
44	B20	0	IC	UNKNOWN	TAMRA	none
44	B20	0	RNaseP	UNKNOWN	CY5	none
44	B20	0	SARS	UNKNOWN	FAM	none
45	B21	0	IC	UNKNOWN	TAMRA	none
45	B21	0	RNaseP	UNKNOWN	CY5	none
45	B21	0	SARS	UNKNOWN	FAM	none
46	B22	0	IC	UNKNOWN	TAMRA	none
46	B22	0	RNaseP	UNKNOWN	CY5	none
46	B22	0	SARS	UNKNOWN	FAM	none
47	B23	0	IC	UNKNOWN	TAMRA	none
47	B23	0	RNaseP	UNKNOWN	CY5	none
47	B23	0	SARS	UNKNOWN	FAM	none
48	B24	0	IC	UNKNOWN	TAMRA	none
48	B24	0	RNaseP	UNKNOWN	CY5	none
48	B24	0	SARS	UNKNOWN	FAM	none
49	C1	0	IC	UNKNOWN	TAMRA	none
49	C1	0	RNaseP	UNKNOWN	CY5	none
49	C1	0	SARS	UNKNOWN	FAM	none
50	C2	0	IC	UNKNOWN	TAMRA	none
50	C2	0	RNaseP	UNKNOWN	CY5	none
50	C2	0	SARS	UNKNOWN	FAM	none
51	C3	0	IC	UNKNOWN	TAMRA	none
51	C3	0	RNaseP	UNKNOWN	CY5	none
51	C3	0	SARS	UNKNOWN	FAM	none
52	C4	0	IC	UNKNOWN	TAMRA	none
52	C4	0	RNaseP	UNKNOWN	CY5	none
52	C4	0	SARS	UNKNOWN	FAM	none
53	C5	0	IC	UNKNOWN	TAMRA	none
53	C5	0	RNaseP	UNKNOWN	CY5	none
53	C5	0	SARS	UNKNOWN	FAM	none
54	C6	0	IC	UNKNOWN	TAMRA	none
54	C6	0	RNaseP	UNKNOWN	CY5	none
54	C6	0	SARS	UNKNOWN	FAM	none
55	C7	0	IC	UNKNOWN	TAMRA	none
55	C7	0	RNaseP	UNKNOWN	CY5	none
55	C7	0	SARS	UNKNOWN	FAM	none
56	C8	0	IC	UNKNOWN	TAMRA	none
56	C8	0	RNaseP	UNKNOWN	CY5	none
56	C8	0	SARS	UNKNOWN	FAM	none
57	C9	0	IC	UNKNOWN	TAMRA	none
57	C9	0	RNaseP	UNKNOWN	CY5	none
57	C9	0	SARS	UNKNOWN	FAM	none
58	C10	0	IC	UNKNOWN	TAMRA	none
58	C10	0	RNaseP	UNKNOWN	CY5	none
58	C10	0	SARS	UNKNOWN	FAM	none
59	C11	0	IC	UNKNOWN	TAMRA	none
59	C11	0	RNaseP	UNKNOWN	CY5	none
59	C11	0	SARS	UNKNOWN	FAM	none
60	C12	0	IC	UNKNOWN	TAMRA	none
60	C12	0	RNaseP	UNKNOWN	CY5	none
60	C12	0	SARS	UNKNOWN	FAM	none
61	C13	0	IC	UNKNOWN	TAMRA	none
61	C13	0	RNaseP	UNKNOWN	CY5	none
61	C13	0	SARS	UNKNOWN	FAM	none
62	C14	0	IC	UNKNOWN	TAMRA	none
62	C14	0	RNaseP	UNKNOWN	CY5	none
62	C14	0	SARS	UNKNOWN	FAM	none
63	C15	0	IC	UNKNOWN	TAMRA	none
63	C15	0	RNaseP	UNKNOWN	CY5	none
63	C15	0	SARS	UNKNOWN	FAM	none
64	C16	0	IC	UNKNOWN	TAMRA	none
64	C16	0	RNaseP	UNKNOWN	CY5	none
64	C16	0	SARS	UNKNOWN	FAM	none
65	C17	0	IC	UNKNOWN	TAMRA	none
65	C17	0	RNaseP	UNKNOWN	CY5	none
65	C17	0	SARS	UNKNOWN	FAM	none
66	C18	0	IC	UNKNOWN	TAMRA	none
66	C18	0	RNaseP	UNKNOWN	CY5	none
66	C18	0	SARS	UNKNOWN	FAM	none
67	C19	0	IC	UNKNOWN	TAMRA	none
67	C19	0	RNaseP	UNKNOWN	CY5	none
67	C19	0	SARS	UNKNOWN	FAM	none
68	C20	0	IC	UNKNOWN	TAMRA	none
68	C20	0	RNaseP	UNKNOWN	CY5	none
68	C20	0	SARS	UNKNOWN	FAM	none
69	C21	0	IC	UNKNOWN	TAMRA	none
69	C21	0	RNaseP	UNKNOWN	CY5	none
69	C21	0	SARS	UNKNOWN	FAM	none
70	C22	0	IC	UNKNOWN	TAMRA	none
70	C22	0	RNaseP	UNKNOWN	CY5	none
70	C22	0	SARS	UNKNOWN	FAM	none
71	C23	0	IC	UNKNOWN	TAMRA	none
71	C23	0	RNaseP	UNKNOWN	CY5	none
71	C23	0	SARS	UNKNOWN	FAM	none
72	C24	0	IC	UNKNOWN	TAMRA	none
72	C24	0	RNaseP	UNKNOWN	CY5	none
72	C24	0	SARS	UNKNOWN	FAM	none
73	D1	0	IC	UNKNOWN	TAMRA	none
73	D1	0	RNaseP	UNKNOWN	CY5	none
73	D1	0	SARS	UNKNOWN	FAM	none
74	D2	0	IC	UNKNOWN	TAMRA	none
74	D2	0	RNaseP	UNKNOWN	CY5	none
74	D2	0	SARS	UNKNOWN	FAM	none
75	D3	0	IC	UNKNOWN	TAMRA	none
75	D3	0	RNaseP	UNKNOWN	CY5	none
75	D3	0	SARS	UNKNOWN	FAM	none
76	D4	0	IC	UNKNOWN	TAMRA	none
76	D4	0	RNaseP	UNKNOWN	CY5	none
76	D4	0	SARS	UNKNOWN	FAM	none
77	D5	0	IC	UNKNOWN	TAMRA	none
77	D5	0	RNaseP	UNKNOWN	CY5	none
77	D5	0	SARS	UNKNOWN	FAM	none
78	D6	0	IC	UNKNOWN	TAMRA	none
78	D6	0	RNaseP	UNKNOWN	CY5	none
78	D6	0	SARS	UNKNOWN	FAM	none
79	D7	0	IC	UNKNOWN	TAMRA	none
79	D7	0	RNaseP	UNKNOWN	CY5	none
79	D7	0	SARS	UNKNOWN	FAM	none
80	D8	0	IC	UNKNOWN	TAMRA	none
80	D8	0	RNaseP	UNKNOWN	CY5	none
80	D8	0	SARS	UNKNOWN	FAM	none
81	D9	0	IC	UNKNOWN	TAMRA	none
81	D9	0	RNaseP	UNKNOWN	CY5	none
81	D9	0	SARS	UNKNOWN	FAM	none
82	D10	0	IC	UNKNOWN	TAMRA	none
82	D10	0	RNaseP	UNKNOWN	CY5	none
82	D10	0	SARS	UNKNOWN	FAM	none
83	D11	0	IC	UNKNOWN	TAMRA	none
83	D11	0	RNaseP	UNKNOWN	CY5	none
83	D11	0	SARS	UNKNOWN	FAM	none
84	D12	0	IC	UNKNOWN	TAMRA	none
84	D12	0	RNaseP	UNKNOWN	CY5	none
84	D12	0	SARS	UNKNOWN	FAM	none
85	D13	0	IC	UNKNOWN	TAMRA	none
85	D13	0	RNaseP	UNKNOWN	CY5	none
85	D13	0	SARS	UNKNOWN	FAM	none
86	D14	0	IC	UNKNOWN	TAMRA	none
86	D14	0	RNaseP	UNKNOWN	CY5	none
86	D14	0	SARS	UNKNOWN	FAM	none
87	D15	0	IC	UNKNOWN	TAMRA	none
87	D15	0	RNaseP	UNKNOWN	CY5	none
87	D15	0	SARS	UNKNOWN	FAM	none
88	D16	0	IC	UNKNOWN	TAMRA	none
88	D16	0	RNaseP	UNKNOWN	CY5	none
88	D16	0	SARS	UNKNOWN	FAM	none
89	D17	0	IC	UNKNOWN	TAMRA	none
89	D17	0	RNaseP	UNKNOWN	CY5	none
89	D17	0	SARS	UNKNOWN	FAM	none
90	D18	0	IC	UNKNOWN	TAMRA	none
90	D18	0	RNaseP	UNKNOWN	CY5	none
90	D18	0	SARS	UNKNOWN	FAM	none
91	D19	0	IC	UNKNOWN	TAMRA	none
91	D19	0	RNaseP	UNKNOWN	CY5	none
91	D19	0	SARS	UNKNOWN	FAM	none
92	D20	0	IC	UNKNOWN	TAMRA	none
92	D20	0	RNaseP	UNKNOWN	CY5	none
92	D20	0	SARS	UNKNOWN	FAM	none
93	D21	0	IC	UNKNOWN	TAMRA	none
93	D21	0	RNaseP	UNKNOWN	CY5	none
93	D21	0	SARS	UNKNOWN	FAM	none
94	D22	0	IC	UNKNOWN	TAMRA	none
94	D22	0	RNaseP	UNKNOWN	CY5	none
94	D22	0	SARS	UNKNOWN	FAM	none
95	D23	0	IC	UNKNOWN	TAMRA	none
95	D23	0	RNaseP	UNKNOWN	CY5	none
95	D23	0	SARS	UNKNOWN	FAM	none
96	D24	0	IC	UNKNOWN	TAMRA	none
96	D24	0	RNaseP	UNKNOWN	CY5	none
96	D24	0	SARS	UNKNOWN	FAM	none
97	E1	0	IC	UNKNOWN	TAMRA	none
97	E1	0	RNaseP	UNKNOWN	CY5	none
97	E1	0	SARS	UNKNOWN	FAM	none
98	E2	0	IC	UNKNOWN	TAMRA	none
98	E2	0	RNaseP	UNKNOWN	CY5	none
98	E2	0	SARS	UNKNOWN	FAM	none
99	E3	0	IC	UNKNOWN	TAMRA	none
99	E3	0	RNaseP	UNKNOWN	CY5	none
99	E3	0	SARS	UNKNOWN	FAM	none
100	E4	0	IC	UNKNOWN	TAMRA	none
100	E4	0	RNaseP	UNKNOWN	CY5	none
100	E4	0	SARS	UNKNOWN	FAM	none
101	E5	0	IC	UNKNOWN	TAMRA	none
101	E5	0	RNaseP	UNKNOWN	CY5	none
101	E5	0	SARS	UNKNOWN	FAM	none
102	E6	0	IC	UNKNOWN	TAMRA	none
102	E6	0	RNaseP	UNKNOWN	CY5	none
102	E6	0	SARS	UNKNOWN	FAM	none
103	E7	0	IC	UNKNOWN	TAMRA	none
103	E7	0	RNaseP	UNKNOWN	CY5	none
103	E7	0	SARS	UNKNOWN	FAM	none
104	E8	0	IC	UNKNOWN	TAMRA	none
104	E8	0	RNaseP	UNKNOWN	CY5	none
104	E8	0	SARS	UNKNOWN	FAM	none
105	E9	0	IC	UNKNOWN	TAMRA	none
105	E9	0	RNaseP	UNKNOWN	CY5	none
105	E9	0	SARS	UNKNOWN	FAM	none
106	E10	0	IC	UNKNOWN	TAMRA	none
106	E10	0	RNaseP	UNKNOWN	CY5	none
106	E10	0	SARS	UNKNOWN	FAM	none
107	E11	0	IC	UNKNOWN	TAMRA	none
107	E11	0	RNaseP	UNKNOWN	CY5	none
107	E11	0	SARS	UNKNOWN	FAM	none
108	E12	0	IC	UNKNOWN	TAMRA	none
108	E12	0	RNaseP	UNKNOWN	CY5	none
108	E12	0	SARS	UNKNOWN	FAM	none
109	E13	0	IC	UNKNOWN	TAMRA	none
109	E13	0	RNaseP	UNKNOWN	CY5	none
109	E13	0	SARS	UNKNOWN	FAM	none
110	E14	0	IC	UNKNOWN	TAMRA	none
110	E14	0	RNaseP	UNKNOWN	CY5	none
110	E14	0	SARS	UNKNOWN	FAM	none
111	E15	0	IC	UNKNOWN	TAMRA	none
111	E15	0	RNaseP	UNKNOWN	CY5	none
111	E15	0	SARS	UNKNOWN	FAM	none
112	E16	0	IC	UNKNOWN	TAMRA	none
112	E16	0	RNaseP	UNKNOWN	CY5	none
112	E16	0	SARS	UNKNOWN	FAM	none
113	E17	0	IC	UNKNOWN	TAMRA	none
113	E17	0	RNaseP	UNKNOWN	CY5	none
113	E17	0	SARS	UNKNOWN	FAM	none
114	E18	0	IC	UNKNOWN	TAMRA	none
114	E18	0	RNaseP	UNKNOWN	CY5	none
114	E18	0	SARS	UNKNOWN	FAM	none
115	E19	0	IC	UNKNOWN	TAMRA	none
115	E19	0	RNaseP	UNKNOWN	CY5	none
115	E19	0	SARS	UNKNOWN	FAM	none
116	E20	0	IC	UNKNOWN	TAMRA	none
116	E20	0	RNaseP	UNKNOWN	CY5	none
116	E20	0	SARS	UNKNOWN	FAM	none
117	E21	0	IC	UNKNOWN	TAMRA	none
117	E21	0	RNaseP	UNKNOWN	CY5	none
117	E21	0	SARS	UNKNOWN	FAM	none
118	E22	0	IC	UNKNOWN	TAMRA	none
118	E22	0	RNaseP	UNKNOWN	CY5	none
118	E22	0	SARS	UNKNOWN	FAM	none
119	E23	0	IC	UNKNOWN	TAMRA	none
119	E23	0	RNaseP	UNKNOWN	CY5	none
119	E23	0	SARS	UNKNOWN	FAM	none
120	E24	0	IC	UNKNOWN	TAMRA	none
120	E24	0	RNaseP	UNKNOWN	CY5	none
120	E24	0	SARS	UNKNOWN	FAM	none
121	F1	0	IC	UNKNOWN	TAMRA	none
121	F1	0	RNaseP	UNKNOWN	CY5	none
121	F1	0	SARS	UNKNOWN	FAM	none
122	F2	0	IC	UNKNOWN	TAMRA	none
122	F2	0	RNaseP	UNKNOWN	CY5	none
122	F2	0	SARS	UNKNOWN	FAM	none
123	F3	0	IC	UNKNOWN	TAMRA	none
123	F3	0	RNaseP	UNKNOWN	CY5	none
123	F3	0	SARS	UNKNOWN	FAM	none
124	F4	0	IC	UNKNOWN	TAMRA	none
124	F4	0	RNaseP	UNKNOWN	CY5	none
124	F4	0	SARS	UNKNOWN	FAM	none
125	F5	0	IC	UNKNOWN	TAMRA	none
125	F5	0	RNaseP	UNKNOWN	CY5	none
125	F5	0	SARS	UNKNOWN	FAM	none
126	F6	0	IC	UNKNOWN	TAMRA	none
126	F6	0	RNaseP	UNKNOWN	CY5	none
126	F6	0	SARS	UNKNOWN	FAM	none
127	F7	0	IC	UNKNOWN	TAMRA	none
127	F7	0	RNaseP	UNKNOWN	CY5	none
127	F7	0	SARS	UNKNOWN	FAM	none
128	F8	0	IC	UNKNOWN	TAMRA	none
128	F8	0	RNaseP	UNKNOWN	CY5	none
128	F8	0	SARS	UNKNOWN	FAM	none
129	F9	0	IC	UNKNOWN	TAMRA	none
129	F9	0	RNaseP	UNKNOWN	CY5	none
129	F9	0	SARS	UNKNOWN	FAM	none
130	F10	0	IC	UNKNOWN	TAMRA	none
130	F10	0	RNaseP	UNKNOWN	CY5	none
130	F10	0	SARS	UNKNOWN	FAM	none
131	F11	0	IC	UNKNOWN	TAMRA	none
131	F11	0	RNaseP	UNKNOWN	CY5	none
131	F11	0	SARS	UNKNOWN	FAM	none
132	F12	0	IC	UNKNOWN	TAMRA	none
132	F12	0	RNaseP	UNKNOWN	CY5	none
132	F12	0	SARS	UNKNOWN	FAM	none
133	F13	0	IC	UNKNOWN	TAMRA	none
133	F13	0	RNaseP	UNKNOWN	CY5	none
133	F13	0	SARS	UNKNOWN	FAM	none
134	F14	0	IC	UNKNOWN	TAMRA	none
134	F14	0	RNaseP	UNKNOWN	CY5	none
134	F14	0	SARS	UNKNOWN	FAM	none
135	F15	0	IC	UNKNOWN	TAMRA	none
135	F15	0	RNaseP	UNKNOWN	CY5	none
135	F15	0	SARS	UNKNOWN	FAM	none
136	F16	0	IC	UNKNOWN	TAMRA	none
136	F16	0	RNaseP	UNKNOWN	CY5	none
136	F16	0	SARS	UNKNOWN	FAM	none
137	F17	0	IC	UNKNOWN	TAMRA	none
137	F17	0	RNaseP	UNKNOWN	CY5	none
137	F17	0	SARS	UNKNOWN	FAM	none
138	F18	0	IC	UNKNOWN	TAMRA	none
138	F18	0	RNaseP	UNKNOWN	CY5	none
138	F18	0	SARS	UNKNOWN	FAM	none
139	F19	0	IC	UNKNOWN	TAMRA	none
139	F19	0	RNaseP	UNKNOWN	CY5	none
139	F19	0	SARS	UNKNOWN	FAM	none
140	F20	0	IC	UNKNOWN	TAMRA	none
140	F20	0	RNaseP	UNKNOWN	CY5	none
140	F20	0	SARS	UNKNOWN	FAM	none
141	F21	0	IC	UNKNOWN	TAMRA	none
141	F21	0	RNaseP	UNKNOWN	CY5	none
141	F21	0	SARS	UNKNOWN	FAM	none
142	F22	0	IC	UNKNOWN	TAMRA	none
142	F22	0	RNaseP	UNKNOWN	CY5	none
142	F22	0	SARS	UNKNOWN	FAM	none
143	F23	0	IC	UNKNOWN	TAMRA	none
143	F23	0	RNaseP	UNKNOWN	CY5	none
143	F23	0	SARS	UNKNOWN	FAM	none
144	F24	0	IC	UNKNOWN	TAMRA	none
144	F24	0	RNaseP	UNKNOWN	CY5	none
144	F24	0	SARS	UNKNOWN	FAM	none
145	G1	0	IC	UNKNOWN	TAMRA	none
145	G1	0	RNaseP	UNKNOWN	CY5	none
145	G1	0	SARS	UNKNOWN	FAM	none
146	G2	0	IC	UNKNOWN	TAMRA	none
146	G2	0	RNaseP	UNKNOWN	CY5	none
146	G2	0	SARS	UNKNOWN	FAM	none
147	G3	0	IC	UNKNOWN	TAMRA	none
147	G3	0	RNaseP	UNKNOWN	CY5	none
147	G3	0	SARS	UNKNOWN	FAM	none
148	G4	0	IC	UNKNOWN	TAMRA	none
148	G4	0	RNaseP	UNKNOWN	CY5	none
148	G4	0	SARS	UNKNOWN	FAM	none
149	G5	0	IC	UNKNOWN	TAMRA	none
149	G5	0	RNaseP	UNKNOWN	CY5	none
149	G5	0	SARS	UNKNOWN	FAM	none
150	G6	0	IC	UNKNOWN	TAMRA	none
150	G6	0	RNaseP	UNKNOWN	CY5	none
150	G6	0	SARS	UNKNOWN	FAM	none
151	G7	0	IC	UNKNOWN	TAMRA	none
151	G7	0	RNaseP	UNKNOWN	CY5	none
151	G7	0	SARS	UNKNOWN	FAM	none
152	G8	0	IC	UNKNOWN	TAMRA	none
152	G8	0	RNaseP	UNKNOWN	CY5	none
152	G8	0	SARS	UNKNOWN	FAM	none
153	G9	0	IC	UNKNOWN	TAMRA	none
153	G9	0	RNaseP	UNKNOWN	CY5	none
153	G9	0	SARS	UNKNOWN	FAM	none
154	G10	0	IC	UNKNOWN	TAMRA	none
154	G10	0	RNaseP	UNKNOWN	CY5	none
154	G10	0	SARS	UNKNOWN	FAM	none
155	G11	0	IC	UNKNOWN	TAMRA	none
155	G11	0	RNaseP	UNKNOWN	CY5	none
155	G11	0	SARS	UNKNOWN	FAM	none
156	G12	0	IC	UNKNOWN	TAMRA	none
156	G12	0	RNaseP	UNKNOWN	CY5	none
156	G12	0	SARS	UNKNOWN	FAM	none
157	G13	0	IC	UNKNOWN	TAMRA	none
157	G13	0	RNaseP	UNKNOWN	CY5	none
157	G13	0	SARS	UNKNOWN	FAM	none
158	G14	0	IC	UNKNOWN	TAMRA	none
158	G14	0	RNaseP	UNKNOWN	CY5	none
158	G14	0	SARS	UNKNOWN	FAM	none
159	G15	0	IC	UNKNOWN	TAMRA	none
159	G15	0	RNaseP	UNKNOWN	CY5	none
159	G15	0	SARS	UNKNOWN	FAM	none
160	G16	0	IC	UNKNOWN	TAMRA	none
160	G16	0	RNaseP	UNKNOWN	CY5	none
160	G16	0	SARS	UNKNOWN	FAM	none
161	G17	0	IC	UNKNOWN	TAMRA	none
161	G17	0	RNaseP	UNKNOWN	CY5	none
161	G17	0	SARS	UNKNOWN	FAM	none
162	G18	0	IC	UNKNOWN	TAMRA	none
162	G18	0	RNaseP	UNKNOWN	CY5	none
162	G18	0	SARS	UNKNOWN	FAM	none
163	G19	0	IC	UNKNOWN	TAMRA	none
163	G19	0	RNaseP	UNKNOWN	CY5	none
163	G19	0	SARS	UNKNOWN	FAM	none
164	G20	0	IC	UNKNOWN	TAMRA	none
164	G20	0	RNaseP	UNKNOWN	CY5	none
164	G20	0	SARS	UNKNOWN	FAM	none
165	G21	0	IC	UNKNOWN	TAMRA	none
165	G21	0	RNaseP	UNKNOWN	CY5	none
165	G21	0	SARS	UNKNOWN	FAM	none
166	G22	0	IC	UNKNOWN	TAMRA	none
166	G22	0	RNaseP	UNKNOWN	CY5	none
166	G22	0	SARS	UNKNOWN	FAM	none
167	G23	0	IC	UNKNOWN	TAMRA	none
167	G23	0	RNaseP	UNKNOWN	CY5	none
167	G23	0	SARS	UNKNOWN	FAM	none
168	G24	0	IC	UNKNOWN	TAMRA	none
168	G24	0	RNaseP	UNKNOWN	CY5	none
168	G24	0	SARS	UNKNOWN	FAM	none
169	H1	0	IC	UNKNOWN	TAMRA	none
169	H1	0	RNaseP	UNKNOWN	CY5	none
169	H1	0	SARS	UNKNOWN	FAM	none
170	H2	0	IC	UNKNOWN	TAMRA	none
170	H2	0	RNaseP	UNKNOWN	CY5	none
170	H2	0	SARS	UNKNOWN	FAM	none
171	H3	0	IC	UNKNOWN	TAMRA	none
171	H3	0	RNaseP	UNKNOWN	CY5	none
171	H3	0	SARS	UNKNOWN	FAM	none
172	H4	0	IC	UNKNOWN	TAMRA	none
172	H4	0	RNaseP	UNKNOWN	CY5	none
172	H4	0	SARS	UNKNOWN	FAM	none
173	H5	0	IC	UNKNOWN	TAMRA	none
173	H5	0	RNaseP	UNKNOWN	CY5	none
173	H5	0	SARS	UNKNOWN	FAM	none
174	H6	0	IC	UNKNOWN	TAMRA	none
174	H6	0	RNaseP	UNKNOWN	CY5	none
174	H6	0	SARS	UNKNOWN	FAM	none
175	H7	0	IC	UNKNOWN	TAMRA	none
175	H7	0	RNaseP	UNKNOWN	CY5	none
175	H7	0	SARS	UNKNOWN	FAM	none
176	H8	0	IC	UNKNOWN	TAMRA	none
176	H8	0	RNaseP	UNKNOWN	CY5	none
176	H8	0	SARS	UNKNOWN	FAM	none
177	H9	0	IC	UNKNOWN	TAMRA	none
177	H9	0	RNaseP	UNKNOWN	CY5	none
177	H9	0	SARS	UNKNOWN	FAM	none
178	H10	0	IC	UNKNOWN	TAMRA	none
178	H10	0	RNaseP	UNKNOWN	CY5	none
178	H10	0	SARS	UNKNOWN	FAM	none
179	H11	0	IC	UNKNOWN	TAMRA	none
